customer_id;first_name;last_name;address;postcode;city;country;ascii_safe_email;date_of_birth
1;Gerald;Conley;"79655 Monica Gardens Apt. 008
North Michelle, CT 71509";05731;South Karla;Monaco;howellmichael@example.net;1996-11-13
2;James;Andrews;"6898 Savannah Hills
North Ericfurt, OH 54896";32724;Floresberg;Algeria;patricia91@example.org;1925-09-01
3;Amanda;Green;"6516 Jenkins Bypass
Tracyville, AL 31347";34558;Dickersonport;Aruba;gonzalezjoshua@example.net;2001-04-21
4;Jacqueline;White;"58737 Ramos Greens
South Rachel, NM 67398";21883;West Aaron;Cote d'Ivoire;sherri31@example.net;1980-07-28
5;Shane;Castro;"39728 Cooper Terrace Apt. 723
East Kathleenburgh, TN 18838";28098;Jacksonton;Malta;cbrown@example.com;1963-04-02
6;Mason;Ellison;"919 Ashley Club
New Kevinshire, OK 53250";19880;Bradborough;Thailand;scottpatricia@example.com;2014-06-08
7;Jennifer;Austin;"Unit 3029 Box 7466
DPO AP 66131";14530;Smithshire;Libyan Arab Jamahiriya;sandrathomas@example.org;2011-03-03
8;Michael;Lopez;"4461 Kelly Viaduct Apt. 258
Taylorborough, IN 84669";47137;Michealburgh;Denmark;stonechristina@example.net;1987-11-09
9;Dennis;Evans;"624 Dalton Extension Suite 880
Smithtown, TN 17181";30144;Rodriguezside;Uzbekistan;donovanandrew@example.com;1927-10-07
10;Bryan;Phillips;"295 Patel Shoals Apt. 852
Parrishport, CT 82053";60226;Williamsfurt;Niue;sanchezrebecca@example.com;2011-05-09
11;Bruce;Erickson;"25785 Carolyn Key
Kristenview, NY 83420";78175;Port Jimbury;Niger;ariel68@example.com;2020-02-28
12;Wayne;Hernandez;"78059 Graves Stream
Rodneyfort, MS 63633";98909;Michaelview;Congo;wisebrittany@example.org;1971-09-26
13;Robert;Thomas;"062 Ferrell Knoll Apt. 500
Floresside, IA 88310";81751;Michaelberg;Western Sahara;megan10@example.org;1953-08-07
14;Lauren;Christensen;"431 Jessica Bridge Apt. 760
New Robert, CA 97232";90606;South Emily;Hungary;wsanford@example.com;2020-07-16
15;Megan;Hancock;"85172 Hernandez Key Apt. 763
Frazierchester, MA 57736";35711;Stevenville;Belize;chaneygrace@example.org;2020-06-12
16;Tracy;James;"199 John Summit
Lake Shelby, NH 14223";91696;New Seanhaven;Turkmenistan;brittany25@example.com;1956-05-04
17;Joseph;Booker;"98175 Tara Path
Brittneyberg, GA 14942";51235;Christychester;Bhutan;jenniferlewis@example.net;1993-09-14
18;Matthew;Torres;"550 Janice Junction Apt. 472
Whitehaven, PA 26263";58943;North Brandon;French Southern Territories;tyoung@example.org;1974-09-20
19;Abigail;Jones;"37412 Daniel Turnpike Suite 610
Juanfurt, TN 03996";64367;Jacksonborough;Uganda;edwardshelton@example.org;1985-09-11
20;Tamara;Gray;"19945 Chelsea Estate Apt. 488
North Mark, RI 52895";53516;Andradeport;Grenada;eddiemartinez@example.org;1909-10-12
